Bonfire_Shelter_Eagle_Cave,Coontail_Spin,Halls_Cave,Hinds_Cave,Kincaid_Shelter,Montell_Shelter,Murrah_Cave,Schulze_Cave,Zesch_Cave
Bison_antiquus,Arctodus_simus,Antilocapra_americana,Arctodus_simus,Antilocapra_americana,Antilocapra_americana,Bassariscus_astutus,Antilocapra_americana,Baiomys_taylori
Camelops_hesternus,Bassariscus_astutus,Arctodus_simus,Bison_antiquus,Bison_antiquus,Arctodus_simus,Canis_dirus,Bison_antiquus,Bison_antiquus
Canis_dirus,Bison_antiquus,Baiomys_taylori,Camelops_hesternus,Camelops_hesternus,Bison_antiquus,Canis_latrans,Canis_dirus,Blarina_carolinensis
Canis_latrans,Camelops_hesternus,Bassariscus_astutus,Canis_dirus,Canis_dirus,Camelops_hesternus,Canis_lupus,Canis_latrans,Camelops_hesternus
Canis_lupus,Canis_dirus,Bison_antiquus,Canis_latrans,Canis_latrans,Canis_dirus,Equus_large,Canis_lupus,Canis_dirus
Equus_large,Canis_latrans,Bison_latifrons,Canis_lupus,Canis_lupus,Canis_latrans,Equus_small,Chaetodipus_hispidus,Canis_latrans
Equus_small,Canis_lupus,Blarina_carolinensis,Equus_large,Chaetodipus_hispidus,Canis_lupus,Felis_wiedii,Conepatus_leuconotus,Canis_lupus
Hemiauchenia_macrocephala,Equus_large,Bootherium_bombifrons,Equus_small,Conepatus_leuconotus,Chaetodipus_hispidus,Hemiauchenia_macrocephala,Cryptotis_parva,Chaetodipus_hispidus
Homotherium_serum,Equus_small,Camelops_hesternus,Felis_wiedii,Dasypus_bellus,Conepatus_leuconotus,Homotherium_serum,Cynomys_ludovicianus,Conepatus_leuconotus
Lepus_californicus_pleistocene,Felis_wiedii,Canis_dirus,Glyptotherium_floridanum,Equus_large,Cynomys_ludovicianus,Lepus_californicus_pleistocene,Dasypus_bellus,Cryptotis_parva
Lynx_rufus_pleistocene,Glyptotherium_floridanum,Canis_familiaris,Hemiauchenia_macrocephala,Equus_small,Dasypus_bellus,Lynx_rufus_pleistocene,Equus_large,Cynomys_ludovicianus
Mammuthus_sp,Hemiauchenia_macrocephala,Canis_latrans,Homotherium_serum,Felis_wiedii,Equus_large,Megalonyx_jeffersonii,Equus_small,Dasypus_bellus
Megalonyx_jeffersonii,Homotherium_serum,Canis_lupus,Lepus_californicus_pleistocene,Hemiauchenia_macrocephala,Equus_small,Mephitis_mephitis,Felis_wiedii,Dipodomys_elator
Mephitis_mephitis,Lepus_californicus_pleistocene,Capromeryx_minor,Lynx_rufus_pleistocene,Homotherium_serum,Felis_wiedii,Navahoceros_fricki,Geomys_sp,Equus_large
Navahoceros_fricki,Lynx_rufus_pleistocene,Chaetodipus_hispidus,Mammut_americanum,Lepus_californicus_pleistocene,Geomys_sp,Odocoileus_sp,Hemiauchenia_macrocephala,Equus_small
Odocoileus_sp,Mammut_americanum,Conepatus_leuconotus,Mammuthus_sp,Lynx_rufus_pleistocene,Glyptotherium_floridanum,Panthera_leo_atrox,Homotherium_serum,Felis_wiedii
Panthera_leo_atrox,Mammuthus_sp,Cratogeomys_castanops,Megalonyx_jeffersonii,Mammuthus_sp,Hemiauchenia_macrocephala,Panthera_onca_pleistocene,Lepus_californicus_pleistocene,Geomys_sp
Panthera_onca_pleistocene,Megalonyx_jeffersonii,Cryptotis_parva,Mephitis_mephitis,Megalonyx_jeffersonii,Homotherium_serum,Platygonus_compressus,Lynx_rufus_pleistocene,Hemiauchenia_macrocephala
Platygonus_compressus,Mephitis_mephitis,Cuvieronius_sp,Navahoceros_fricki,Navahoceros_fricki,Lynx_rufus_pleistocene,Smilodon_fatalis,Megalonyx_jeffersonii,Homotherium_serum
Smilodon_fatalis,Navahoceros_fricki,Cynomys_ludovicianus,Odocoileus_sp,Neotoma_sp,Mammut_americanum,Stockoceros_sp,Mephitis_mephitis,Lepus_californicus_pleistocene
Stockoceros_sp,Odocoileus_sp,Dasypus_bellus,Panthera_leo_atrox,Odocoileus_sp,Mammuthus_sp,Sylvilagus_sp_pleistocene,Microtus_sp,Lynx_rufus_pleistocene
Sylvilagus_sp_pleistocene,Panthera_leo_atrox,Dasypus_novemcinctus,Panthera_onca_pleistocene,Panthera_leo_atrox,Megalonyx_jeffersonii,Tapirus_veroensis,Mustela_sp,Megalonyx_jeffersonii
Tapirus_veroensis,Panthera_onca_pleistocene,Didelphis_virginiana,Paramylodon_harlani,Panthera_onca_pleistocene,Microtus_sp,Urocyon_cinereoargenteus,Navahoceros_fricki,Mephitis_mephitis
Urocyon_cinereoargenteus,Paramylodon_harlani,Dipodomys_elator,Platygonus_compressus,Platygonus_compressus,Navahoceros_fricki,Ursus_americanus,Neotoma_sp,Microtus_sp
Ursus_americanus,Platygonus_compressus,Equus_large,Smilodon_fatalis,Procyon_lotor,Neotoma_sp,Ursus_arctos,Notiosorex_crawfordi,Mustela_sp
Vulpes_vulpes,Smilodon_fatalis,Equus_small,Sylvilagus_sp_pleistocene,Smilodon_fatalis,Panthera_leo_atrox,Vulpes_vulpes,Odocoileus_sp,Navahoceros_fricki
,Sylvilagus_sp_pleistocene,Felis_wiedii,Tapirus_veroensis,Sylvilagus_sp_pleistocene,Panthera_onca_pleistocene,,Onychomys_leucogaster,Neotoma_sp
,Tapirus_veroensis,Geomys_sp,Urocyon_cinereoargenteus,Tapirus_veroensis,Paramylodon_harlani,,Panthera_leo_atrox,Notiosorex_crawfordi
,Urocyon_cinereoargenteus,Hemiauchenia_macrocephala,Ursus_americanus,Taxidea_taxus,Peromyscus_sp,,Panthera_onca_pleistocene,Odocoileus_sp
,Ursus_americanus,Holmesina_septentrionalis,Ursus_arctos,Tremarctos_floridanus,Platygonus_compressus,,Perognathus_sp,Onychomys_leucogaster
,Ursus_arctos,Homotherium_serum,Vulpes_vulpes,Urocyon_cinereoargenteus,Sigmodon_hispidus,,Peromyscus_sp,Panthera_leo_atrox
,Vulpes_vulpes,Lepus_californicus_pleistocene,,Ursus_americanus,Smilodon_fatalis,,Platygonus_compressus,Panthera_onca_pleistocene
,,Lynx_rufus_pleistocene,,Ursus_arctos,Stockoceros_sp,,Reithrodontomys_sp,Perognathus_sp
,,Mammut_americanum,,Vulpes_vulpes,Sylvilagus_sp_pleistocene,,Scalopus_aquaticus,Peromyscus_sp
,,Mammuthus_sp,,,Tapirus_veroensis,,Smilodon_fatalis,Platygonus_compressus
,,Megalonyx_jeffersonii,,,Tremarctos_floridanus,,Sorex_cinereus,Reithrodontomys_sp
,,Mephitis_macroura,,,Urocyon_cinereoargenteus,,Spilogale_sp,Scalopus_aquaticus
,,Mephitis_mephitis,,,Ursus_americanus,,Stockoceros_sp,Smilodon_fatalis
,,Microtus_sp,,,Ursus_arctos,,Sylvilagus_sp_pleistocene,Spermophilus_sp
,,Mustela_sp,,,Vulpes_vulpes,,Synaptomys_cooperi,Spilogale_sp
,,Mylohyus_nasutus,,,,,Tapirus_veroensis,Sylvilagus_sp_pleistocene
,,Navahoceros_fricki,,,,,Thomomys_sp,Synaptomys_cooperi
,,Neotoma_sp,,,,,Tremarctos_floridanus,Tapirus_veroensis
,,Notiosorex_crawfordi,,,,,Urocyon_cinereoargenteus,Taxidea_taxus
,,Ochrotomys_nuttalli,,,,,Ursus_americanus,Tremarctos_floridanus
,,Odocoileus_sp,,,,,Ursus_arctos,Urocyon_cinereoargenteus
,,Onychomys_leucogaster,,,,,Vulpes_vulpes,Ursus_americanus
,,Palaeolama_mirifica,,,,,Zapus_hudsonius,Ursus_arctos
,,Panthera_leo_atrox,,,,,,Vulpes_vulpes
,,Panthera_onca_pleistocene,,,,,,Zapus_hudsonius
,,Paramylodon_harlani,,,,,,
,,Pecari_tajacu,,,,,,
,,Perognathus_sp,,,,,,
,,Peromyscus_sp,,,,,,
,,Platygonus_compressus,,,,,,
,,Procyon_lotor,,,,,,
,,Reithrodontomys_sp,,,,,,
,,Scalopus_aquaticus,,,,,,
,,Sciurus_sp,,,,,,
,,Sigmodon_hispidus,,,,,,
,,Smilodon_fatalis,,,,,,
,,Sorex_cinereus,,,,,,
,,Sorex_haydeni,,,,,,
,,Sorex_longirostris,,,,,,
,,Spermophilus_sp,,,,,,
,,Spilogale_sp,,,,,,
,,Stockoceros_sp,,,,,,
,,Sylvilagus_sp_pleistocene,,,,,,
,,Synaptomys_cooperi,,,,,,
,,Tapirus_veroensis,,,,,,
,,Taxidea_taxus,,,,,,
,,Tetrameryx_shuleri,,,,,,
,,Thomomys_sp,,,,,,
,,Tremarctos_floridanus,,,,,,
,,Urocyon_cinereoargenteus,,,,,,
,,Ursus_americanus,,,,,,
,,Ursus_arctos,,,,,,
,,Vulpes_sp,,,,,,
,,Vulpes_vulpes,,,,,,
,,Zapus_hudsonius,,,,,,
